coll_time_round,Date Time(RAW),RSRP_Wo_Round,mean_AvgRsrp,Downtime,Downtime(RAW),Coverage,Coverage(RAW),serial,sensor_distance
3/8/2024 14:00,45359.83333,-90.8 #,-90.8,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 15:00,45359.875,-102.833333333333 #,-102.8333,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 15:00,45359.875,-80.6333333333333 #,-80.6333,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 15:00,45359.875,-80.4 #,-80.4,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 15:00,45359.875,-79.8666666666667 #,-79.8667,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 15:00,45359.875,-79.5833333333333 #,-79.5833,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 15:00,45359.875,-83.9333333333333 #,-83.9333,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 15:00,45359.875,-86.1333333333333 #,-86.1333,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 15:00,45359.875,-93 #,-93,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 15:00,45359.875,-84.65 #,-84.65,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 15:00,45359.875,-70.25 #,-70.25,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 15:00,45359.875,-89.6833333333333 #,-89.6833,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 15:00,45359.875,-56.8333333333333 #,-56.8333,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 16:00,45359.91667,-90 #,-90,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 16:00,45359.91667,-92.3 #,-92.3,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 16:00,45359.91667,-79.2333333333333 #,-79.2333,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 16:00,45359.91667,-83.7666666666667 #,-83.7667,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 16:00,45359.91667,-70.1166666666667 #,-70.1167,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 16:00,45359.91667,-80.6833333333333 #,-80.6833,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 16:00,45359.91667,-80.1666666666667 #,-80.1667,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 16:00,45359.91667,-56.6 #,-56.6,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 16:00,45359.91667,-85.5 #,-85.5,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 16:00,45359.91667,-84.5333333333333 #,-84.5333,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 16:00,45359.91667,-102.55 #,-102.55,0%,0,100%,10000,SN1001000878872,0.458002602
